2025-12-10T11:55:16.577763800 | P_Inicial: 0W | P_Final: 483W | T_Inicial: 25°C | T_Final: 39°C | Ultima_Potencia: 483W | Status: INTERROMPIDO
2025-12-10T13:23:39.772818300 | P_Inicial: 370W | P_Final: 483W | T_Inicial: 32°C | T_Final: 37°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-10T15:07:29.494189500 | P_Inicial: 430W | P_Final: 483W | T_Inicial: 31°C | T_Final: 42°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-11T10:03:02.420684600 | P_Inicial: 486W | P_Final: 483W | T_Inicial: 42°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-11T11:59:09.607534800 | P_Inicial: 486W | P_Final: 483W | T_Inicial: 42°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-16T17:43:04.467121400 | P_Inicial: 483W | P_Final: 483W | T_Inicial: 45°C | T_Final: 44°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-17T15:21:40.178653700 | P_Inicial: 486W | P_Final: 483W | T_Inicial: 42°C | T_Final: 44°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-17T16:22:57.627376400 | P_Inicial: 486W | P_Final: 483W | T_Inicial: 44°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-18T12:02:13.229255500 | P_Inicial: 486W | P_Final: 483W | T_Inicial: 42°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-18T16:11:39.840390800 | P_Inicial: 486W | P_Final: 483W | T_Inicial: 41°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-19T15:57:07.352871100 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 35°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-19T15:57:54.428050200 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 38°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-19T15:57:55.192929800 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 38°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-19T15:58:58.707942700 | P_Inicial: 300W | P_Final: 483W | T_Inicial: 31°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-19T16:57:28.096983900 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 29°C | T_Final: 42°C | Ultima_Potencia: 483W | Status: COMPLETO
2025-12-19T16:59:36.695156600 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 36°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-05T11:36:04.848331100 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 41°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-05T14:47:31.708169800 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 42°C | T_Final: 44°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-05T15:55:22.098774700 | P_Inicial: 483W | P_Final: 483W | T_Inicial: 45°C | T_Final: 44°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-06T09:36:11.548351200 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 44°C | T_Final: 45°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-06T11:18:57.936925 | P_Inicial: -7W | P_Final: 483W | T_Inicial: 37°C | T_Final: 44°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-06T12:03:51.581850 | P_Inicial: -9W | P_Final: 477W | T_Inicial: 39°C | T_Final: 41°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-06T15:56:51.631972200 | P_Inicial: -9W | P_Final: 483W | T_Inicial: 36°C | T_Final: 45°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-06T16:45:25.374228200 | P_Inicial: -9W | P_Final: 483W | T_Inicial: 39°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
2026-01-06T17:32:48.547220100 | P_Inicial: 483W | P_Final: 483W | T_Inicial: 38°C | T_Final: 43°C | Ultima_Potencia: 483W | Status: COMPLETO
